,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,runner,date,match,winner,loser,notes,cage,session_number_difference,winner_cage,loser_cage,subject_cage,agent_cage,subject_strain,agent_strain
61,31,2.2,2.1,962.0,956.2,0,3,1,1,Jocelyn,2022-09-13,2.1vs2.2,2.1,2.2,,CAGE2,1.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
62,32,2.3,2.2,1037.8,1045.5,1,2,3,0,Jocelyn,2022-09-13,2.2vs2.3,2.3,2.2,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
63,32,2.2,2.3,956.2,948.5,0,3,2,1,Jocelyn,2022-09-13,2.2vs2.3,2.3,2.2,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
64,33,2.3,2.4,1045.5,1051.1,1,2,4,0,Jocelyn,2022-09-13,2.3vs2.4,2.3,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
65,33,2.4,2.3,881.4,875.8,0,4,2,1,Jocelyn,2022-09-13,2.3vs2.4,2.3,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
66,34,2.2,2.4,948.5,956.4,1,3,4,0,Jocelyn,2022-09-13,2.4vs2.2,2.2,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
67,34,2.4,2.2,875.8,867.9,0,4,3,1,Jocelyn,2022-09-13,2.4vs2.2,2.2,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
68,35,2.1,2.3,1124.6,1132.5,1,1,2,0,Jocelyn,2022-09-13,2.1vs2.3,2.1,2.3,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
69,35,2.3,2.1,1051.1,1043.2,0,2,1,1,Jocelyn,2022-09-13,2.1vs2.3,2.1,2.3,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
70,36,2.1,2.4,1132.5,1136.1,1,1,4,0,Jocelyn,2022-09-13,2.4vs2.1,2.1,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
71,36,2.4,2.1,867.9,864.3,0,4,1,1,Jocelyn,2022-09-13,2.4vs2.1,2.1,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
72,37,2.3,2.2,1043.2,1050.8,1,2,3,0,Meghan,2022-09-15,2.3vs2.2,2.3,2.2,,CAGE2,1.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
73,37,2.2,2.3,956.4,948.8,0,3,2,1,Meghan,2022-09-15,2.3vs2.2,2.3,2.2,,CAGE2,1.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
74,38,2.1,2.4,1136.1,1139.6,1,1,4,0,Meghan,2022-09-15,2.4vs2.1,2.1,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
75,38,2.4,2.1,864.3,860.8,0,4,1,1,Meghan,2022-09-15,2.4vs2.1,2.1,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
76,39,2.2,2.4,948.8,956.3,1,3,4,0,Meghan,2022-09-15,2.2vs2.4,2.2,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
77,39,2.4,2.2,860.8,853.3,0,4,3,1,Meghan,2022-09-15,2.2vs2.4,2.2,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
78,40,2.1,2.3,1139.6,1147.1,1,1,2,0,Meghan,2022-09-15,2.1vs2.3,2.1,2.3,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
79,40,2.3,2.1,1050.8,1043.3,0,2,1,1,Meghan,2022-09-15,2.1vs2.3,2.1,2.3,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
80,41,2.3,2.4,1043.3,1048.3,1,2,4,0,Meghan,2022-09-15,2.3vs2.4,2.3,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
81,41,2.4,2.3,853.3,848.3,0,4,2,1,Meghan,2022-09-15,2.3vs2.4,2.3,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
82,42,2.1,2.2,1147.1,1152.1,1,1,3,0,Meghan,2022-09-15,2.1vs2.2,2.1,2.2,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
83,42,2.2,2.1,956.3,951.3,0,3,1,1,Meghan,2022-09-15,2.1vs2.2,2.1,2.2,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
84,43,2.3,2.4,1048.3,1053.1,1,2,4,0,Meghan,2022-09-27,2.4vs2.3,2.3,2.4,,CAGE2,1.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
85,43,2.4,2.3,848.3,843.5,0,4,2,1,Meghan,2022-09-27,2.4vs2.3,2.3,2.4,,CAGE2,1.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
86,44,2.2,2.1,951.3,966.5,1,3,1,0,Meghan,2022-09-27,2.2vs2.1,2.2,2.1,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
87,44,2.1,2.2,1152.1,1136.9,0,1,3,1,Meghan,2022-09-27,2.2vs2.1,2.2,2.1,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
88,45,2.3,2.2,1053.1,1060.7,1,2,3,0,Meghan,2022-09-27,2.3vs2.2,2.3,2.2,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
89,45,2.2,2.3,966.5,958.9,0,3,2,1,Meghan,2022-09-27,2.3vs2.2,2.3,2.2,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
90,46,2.1,2.4,1136.9,1140.0,1,1,4,0,Meghan,2022-09-27,2.1vs2.4,2.1,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
91,46,2.4,2.1,843.5,840.4,0,4,1,1,Meghan,2022-09-27,2.1vs2.4,2.1,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
92,47,2.2,2.4,958.9,965.6,1,3,4,0,Meghan,2022-09-27,2.4vs2.2,2.2,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
93,47,2.4,2.2,840.4,833.7,0,4,3,1,Meghan,2022-09-27,2.4vs2.2,2.2,2.4,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
94,48,2.3,2.1,1060.7,1072.9,1,2,1,0,Meghan,2022-09-27,2.3vs2.1,2.3,2.1,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
95,48,2.1,2.3,1140.0,1127.8,0,1,2,1,Meghan,2022-09-27,2.3vs2.1,2.3,2.1,,CAGE2,0.0,CAGE2,CAGE2,CAGE2,CAGE2,C57,C57
