,subject_id,subject_cage,updated_elo_rating,rank
0,1.2,CAGE1,1054.5,1.0
1,1.4,CAGE1,897.9,2.0
2,1.1,CAGE3,1165.3,1.0
3,1.3,CAGE1,882.3,3.0
