Upload CSV file,Text Input,Result,flag,username,timestamp
C:\Users\gcmar\Desktop\GIT_REPOS\social_competiton_elo_rating\revised\flagged\Upload CSV file\test_csv4gnza8kj.csv,1,C:\Users\gcmar\Desktop\GIT_REPOS\social_competiton_elo_rating\revised\flagged\Result\tmpqzksl4cm.json,,,2023-05-02 16:21:22.580035
C:\Users\gcmar\Desktop\GIT_REPOS\social_competiton_elo_rating\revised\flagged\Upload CSV file\test_csvav27tfuq.csv,1,C:\Users\gcmar\Desktop\GIT_REPOS\social_competiton_elo_rating\revised\flagged\Result\tmpy9z07q99.json,,,2023-05-02 16:21:25.780599
